n,p,d,rel_imp,irrel_imp,rand_imp,train_auc,valid_auc,test_auc,fn_rel,fp_irrel,fp_rand
50,6,4,0.21704398512881695,0.017780261219575686,0.12814281152090976,0.9672619047619048,1.0,0.25,0.0,0.0,0.75
50,60,40,0.008531765701293324,0.0107421408490637,0.010426307957599013,0.6023391812865498,1.0,0.4,0.5217391304347826,0.5277777777777778,0.5
50,600,400,0.000450103627428878,0.0009338279113505034,0.0011499651311447838,0.44345238095238093,1.0,0.75,0.475,0.49552772808586765,0.5025
500,6,4,0.20457727060695216,0.172634019327128,0.010250037381221877,0.9962639495390587,1.0,0.9583333333333334,0.3333333333333333,1.0,0.0
500,60,40,0.022009692870670994,0.012705991358522031,0.002071997065712971,0.9999737381164977,0.951171875,0.8561253561253562,0.4444444444444444,0.36585365853658536,0.6
500,600,400,0.00022749131093080166,0.0014914209755514396,0.0005731000327822241,1.0,0.9981884057971014,0.9333333333333333,0.5773195876288659,0.5159362549800797,0.4975
5000,6,4,0.09663168513148795,0.3141387851844052,0.07483361857241075,0.9111291801724251,0.922593244662751,0.9308319408577649,0.25,1.0,0.25
5000,60,40,0.005757941027847998,0.01941560867663528,0.00011783580537946311,0.9965071086506931,0.9980416816385196,0.9969586776859505,0.36363636363636365,0.5625,0.375
5000,600,400,0.0006552878756409126,0.0027111374996878564,0.0001824041505972205,0.9863252629673414,0.9364646059146259,0.949481431917029,0.5191740412979351,0.55,0.485
